Price,Living,quality,structure,renovation,condiction,greenspace,Traffic,VIEW,Time,X,Y
12.043554,0.176856,0.080791,0.25,1,0.333333,0,0.333333,0.230769,37574,437496.6858,5609131.008
12.100156,0.18098,0.280719,0.25,0.166667,0.666667,0,0,0.442308,37508,439064.8245,5606499.784
12.69158,0.238962,0.134304,0.25,1,0.333333,0,0,0.894231,37816,437570.661,5603612.7
13.190022,0.514629,0.312563,0.5,1,0.333333,0,0,0.692308,37868,437581.5501,5603923.601
12.374697,0.356623,0.203594,0.25,1,1,0,0,0.009615,37699,430076.5814,5606488.334
12.314479,0.173945,0.261989,0.25,0.166667,1,0,0,0.451923,37474,437996.055,5605934.484
12.219482,0.215187,0.077311,0.25,1,0,0,0,0.009615,38006,431039.1872,5609747.905
12.285374,0.235808,0.095732,0.25,1,0,0,0,0.009615,38113,442849.3308,5592256.893
12.078239,0.163998,0.136561,0.25,1,0.333333,0,0.333333,0.240385,38114,437668.3498,5608931.25
12.013701,0.100922,0.089679,0,0.166667,0.333333,0,0,0.865385,37972,439341.3721,5605334.534
12.936034,0.557739,0.199703,0.75,1,1,0,0,0.019231,37931,432709.6008,5603672.82
12.043554,0.116764,0.269405,0.25,0.166667,0.333333,0,0,0.326923,37462,438081.4131,5608442.802
12.165251,0.128093,0.212091,0.25,0.166667,0.333333,0,0,0.317308,38042,439504.1113,5607608.016
12.477724,0.270742,0.16764,0.5,1,1,0,0,0.009615,38058,444123.9982,5594142.346
12.448627,0.24066,0.259963,0.5,0.166667,1,0,1,0.096154,37589,442815.2326,5593627.628
12.417144,0.226589,0.149554,0.25,1,1,0,0,0.057692,37944,431376.8602,5609052.661
12.873902,0.562591,0.29081,0.5,1,0.666667,0.6,0,0.153846,37445,433911.7925,5609146.996
12.245293,0.086608,0.227418,0.25,0.166667,0,0,0,0.471154,37590,438655.9477,5606672.32
12.149502,0.118632,0.098883,0.25,0,0,0,0,0.25,37995,439597.3335,5605074.81
12.940841,0.547065,0.213454,0.75,1,1,0,0,0.028846,37498,433185.9269,5603699.04
12.544247,0.325328,0.219757,0.5,1,1,0,0,0.009615,38049,432011.4544,5605286.138
12.591335,0.381611,0.25613,0.5,1,1,0,0,0.115385,38125,442077.9561,5596033.689
12.083905,0.148472,0.204237,0.25,0.166667,0,0,0,0.25,37868,433715.2628,5608139.269
12.028739,0.134158,0.097726,0.25,1,0,0,0,0.048077,38094,433216.2462,5610256.711
11.98916,0.114022,0.364191,0.25,0.166667,0,0,0.333333,0.25,37590,439615.3978,5608385.694
12.634046,0.466036,0.237722,0.5,1,1,0,0,0.019231,37655,432712.0986,5603713.258
12.4761,0.177268,0.268607,0.25,0.666667,0.333333,0,0,0.567308,37900,439266.5628,5604561.361
12.165251,0.232897,0.123112,0.25,1,0.333333,0,0.333333,0.076923,37824,442665.5545,5594587.622
12.505347,0.365599,0.199356,0.5,1,1,0,0,0.009615,38100,430854.1117,5608429.828
12.190959,0.184134,0.115819,0.25,1,0.333333,0,0,0.067308,37826,432736.6204,5609186.207
12.180755,0.137069,0.238924,0.25,0.166667,0.333333,0,0,0.423077,37715,438068.6141,5597241.059
12.095141,0.095099,0.109818,0.25,0.5,0.333333,0,0,0.038462,38105,442575.4126,5592419.425
12.406971,0.198933,0.238905,0.25,0.166667,0.333333,0,0.666667,0.413462,38156,436239.9671,5606528.104
12.69158,0.324115,0.405387,0.5,0.5,0.333333,1,0,0.298077,37894,434436.5389,5607043.472
12.216023,0.210092,0.134342,0.25,1,0.333333,0,0,0.076923,37974,443054.6451,5593781.951
12.223318,0.243814,0.12088,0.5,1,1,0,0,0.019231,37610,432941.1936,5604936.218
13.049793,0.377729,0.512433,0.75,0.166667,1,0.6,0,0.105769,37461,432252.4691,5607841.088
12.57141,0.459,0.235406,0.5,1,1,0,0,0.105769,37575,435833.835,5609395.261
12.19582,0.2836,0.1251,0.25,1,1,0,0,0.019231,37643,431584.0715,5610139.23
12.124027,0.192625,0.08876,0.25,1,0,0,1,0.019231,37746,431157.5461,5609736.287
12.072541,0.18001,0.08719,0.25,1,0,0,0,0.086538,37488,432589.7004,5609300.828
12.323856,0.18753,0.245665,0.25,0.166667,0.333333,0,0.333333,0.336538,37840,439098.1818,5608533.744
12.425208,0.155992,0.268157,0.25,0.166667,0.333333,0,0,0.423077,37968,436358.7727,5606166.423
12.439562,0.391072,0.201021,0.5,1,1,0,0,0.009615,37901,430077.4577,5606432.587
12.684057,0.390102,0.147122,0.5,1,1,0,0,0.028846,38042,433170.0381,5604417.124
12.802158,0.504852,0.230222,0.5,1,1,0,0,0.067308,37505,432122.5799,5609858.617
12.296827,0.298399,0.177654,0.25,1,1,0,0,0.096154,37588,434390.5847,5610217.253
12.417144,0.340854,0.166958,0.25,1,1,0,0,0.057692,38127,441321.1517,5596875.443
12.542545,0.259825,0.42231,0.5,0.166667,1,0,0,0.067308,37854,433123.0793,5609334.671
13.36766,0.416545,0.420496,1,0.166667,1,0.6,0,0.125,37495,433879.5294,5602911.101
